"pid","description","tid"
"30623","Microcephaly, mild (-2 SD)","6"
"30624","Situs solitus","27"
"30625","Decreased kidney volume (1 patient)","39"
"30626","Pyramidal signs (in some)","57"
"30627","Spasticity (in some)","57"
"30628","Polymicrogyria, diffuse, asymmetric","57"
"30629","Cerebellar atrophy, mild (1 patient)","57"
"30630","Two unrelated families have been reported (last curated September 2012)","73"
"30631","Enlarged liver","29"
"30632","Decreased pristanic acid beta-oxidation","67"
"30633","Recurrent apnea","57"
"30634","Elevated liver enzymes","57"
"30635","Generalized paresis, severe (within 2 months of onset)","57"
"30636","Scarce peroxisomes in fibroblasts","72"
"30637","Residual beta-oxidation activity in fibroblasts","72"
"30638","Normal dihydroxyacetonephosphate acyltransferase (DHAPAT) activity in fibroblasts","72"
"30639","Based on description of 2 patients (last curated January 2017)","73"
"30640","Onset of disease precipitated by upper respiratory infection at 16 months of age(in one patient)","73"
"30641","Small ovaries (in some patients)","38"
"30642","Reduced number of follicles seen on ultrasound","38"
"30643","Near-normal pubic hair","54"
"30644","Eunuchoid appearance of males","62"
"30645","Partial or complete serum gonadotropin deficiency","62"
"30646","Low estradiol in females","62"
"30647","Low testosterone in males","62"
"30648","Variable expressivity within a family","73"
"30649","Short stature (3rd centile)","2"
"30650","Low weight (3rd centile)","3"
"30651","Small head (3rd centile)","6"
"30652","Small receding chin","7"
"30653","Asymmetric abnormal ears","8"
"30654","Systolic murmur","15"
"30655","Double outlet right ventricle (DORV)","15"
"30656","Hyperbilirubinemia","29"
"30657","Abnormal male genitals","35"
"30658","Renal tubular defect","39"
"30659","Dense bones","42"
"30660","Cranial asymmetry","43"
"30661","Wide posterior fontanel","43"
"30662","Open sagittal metopic sutures","43"
"30663","Absent Moro reflex","57"
"30664","Absent palmar grasp","57"
"30665","Epilepsy (resistant to conventional anticonvulsant drugs)","57"
"30666","Cerebral atrophy seen on MRI","57"
"30667","Diffuse demyelination seen on MRI","57"
"30668","Disseminated coagulopathy","63"
"30669","Diminished amniotic fluid","68"
"30670","Elevated plasma very long chain fatty acids (VLCFA)","72"
"30671","Complete absence of peroxisomes in fibroblasts","72"
"30672","Deficiency of dihydroxyacetonephosphate acyltransferase (DHAPAT)","72"
"30673","Decreased pristanic acid beta-oxidation","72"
"30674","Decreased phytanic acid alpha-oxidation","72"
"30675","Recurrent severe sepsis","73"
"30676","Death by 16 months of age","73"
"30677","Three patients have been reported (last curated January 2017)","73"
"30678","Icterus","9"
"30679","Low, broad nasal bridge","10"
"30680","Open fontanel","43"
"30681","Icterus","50"
"30682","Normal phytanic acid level","72"
"30683","Elevated di- and trihydroxycholestanoic acid","72"
"30684","Based on detailed clinical information provided on 1 patient","73"
"30685","Based on report of 3 unrelated patients, 2 of whom also had mutations in other known hypogonadotropic hypogonadism-associated genes (FGFR1,","73"
"30686","Neuroendocrine recovery occurs in some patients","73"
"30687","Only female patients reported (last curated October 2013)","73"
"30688","Poor or absent IL12 and gamma-interferon production","64"
"30689","Increased susceptibility to systemic infections, particularly Mycobacteria, Candida, and Salmonella","64"
"30690","Decreased or absent IL12R-beta-1 expression on T cells","64"
"30691","Patient cells show no gamma-interferon response to IL12","64"
"30692","Onset usually in childhood after BCG vaccination","73"
"30693","Increased susceptibility to disseminated mycobacterial infections","64"
"30694","Poor immunologic response to gamma-interferon","72"
"30695","Infections may be triggered by BCG vaccination","73"
"30696","Few to no follicles on ultrasonography","38"
"30697","Absence of pubic hair","54"
"30698","Based on report of 1 family (last curated October 2014)","73"
"30699","Leber congenital amaurosis","9"
"30700","Nystagmus (in 1 patient)","9"
"30701","Liver failure (in some patients)","29"
"30702","Polydactyly (in 1 patient)","47"
"30703","Developmental delay (in 1 patient)","57"
"30704","Cerebellar vermis hypoplasia (in 1 patient)","57"
"30705","Four families have been reported (last curated October 2012)","73"
"30706","Primary immunodeficiency","64"
"30707","Recurrent infections (disseminated mycobacterial infection after BCG immunization)","64"
"30708","Loss of IL-12-producing circulating CD11c+/CD1c+ myeloid dendritic cells","64"
"30709","Two unrelated patients have been reported (last curated September 2013)","73"
"30710","Recurrent infections (increased susceptibility to mycobacterial infection after BCG immunization)","64"
"30711","Lack of circulating monocytes","64"
"30712","Lack of circulating dendritic cells","64"
"30713","Variable deficit of tissue macrophages","64"
"30714","Poor production of certain cytokines (IL-12, gamma-interferon, IL-10, IL-6, TNF-alpha) after stimulation","64"
"30715","Myeloid proliferation","64"
"30716","One patient has been reported (last curated September 2013)","73"
"30717","Seizures, juvenile myoclonic","57"
"30718","Onset in first to second decade","73"
"30719","Seizures may remit with age (in some patients)","73"
"30720","Favorable response of seizures to a ketogenic diet","73"
"30721","Pectus carinatum (in some)","23"
"30722","Hypertrichosis (in 3 patients)","54"
"30723","Unsteady standing","57"
"30724","Spasticity, upper and lower limbs","57"
"30725","Dystonia (in 2 patients)","57"
"30726","Decreased vibration or position sense (in 3 patients)","58"
"30727","Two Arab Muslim families have been reported (last curated October 2012)","73"
"30728","Deafness, stable bilateral symmetric prelingual","8"
"30729","Moderate-to-severe in all frequencies, but slightly more pronounced in mid-frequencies","8"
"30730","Normal static compliance on tympanometry","8"
"30731","Normal middle ear pressures on tympanometry","8"
"30732","Patients have a distinctive shallow U-shaped audiogram","73"
"30733","Sensory ataxia (less common)","57"
"30734","Sural nerve biopsy shows demyelination","58"
"30735","Focal myelin thickening","58"
"30736","Focally folded myelin","58"
"30737","Vocal cord paresis (reported in 1 patient)","60"
"30738","Variable age at onset (range from early childhood to mid-adult)","73"
"30739","Deafness, congenital sensorineural, severe to profound","8"
"30740","Sinoatrial node dysfunction","15"
"30741","Syncopal episodes","15"
"30742","Hyposmia/anosmia","10"
"30743","Hyposmia/anosmia","57"
"30744","Low to normal serum LH Low to normal serum FSH","62"
"30745","Patients have normal pituitary function","73"
"30746","Phenotypic variability within families and among patients carrying the same mutation appears to be due to the oligogenic nature of the disorder, with some patients having mutations in more than 1 neuroendocrine-related gene","73"
"30747","Prepubertal breast development","25"
"30748","Small uterus (prepubertal size)","38"
"30749","Delayed bone age (2 to 3 years) during childhood","42"
"30750","Microcephaly, severe","43"
"30751","Lumbar scoliosis, mild","44"
"30752","Hip dysplasia, bilateral","45"
"30753","Foreshortened ulna (Madelung deformity)","46"
"30754","Clinodactyly, fifth finger","47"
"30755","Short fifth middle phalanx (in some patients)","47"
"30756","Abnormal carpal bones (in some patients)","47"
"30757","Developmental delay, significant","57"
"30758","Normal luteinizing hormone (LH)","62"
"30759","Normal follicle-stimulating hormone (FSH)","62"
"30760","Modestly low estradiol","62"
"30761","Central hypothyroidism, borderline","62"
"30762","Insensitivity to growth hormone therapy","62"
"30763","Based on report of 2 sisters (last curated October 2012)","73"
"30764","Narrowed or absent external auditory meati","8"
"30765","Incomplete lower eyelid, unilateral","9"
"30766","Renal agenesis, unilateral","39"
"30767","Hypoplasia or aplasia of radius, unilateral","46"
"30768","Radioulnar synostosis, unilateral","46"
"30769","Absent thumb, bilateral","47"
"30770","Missing digits, bilateral","47"
"30771","Decreased bone marrow cellularity","63"
"30772","Decreased erythropoiesis","63"
"30773","Good response to steroid treatment","73"
"30774","One patient reported (last curated November 2012)","73"
"30775","Coarse retinal pigmentation (rare)","9"
"30776","Visual impairment (rare)","9"
"30777","Enlarged hepatocytes (rare)","29"
"30778","Increased glycogen content (rare)","29"
"30779","Deficiency of mitochondrial respiratory enzymes seen on muscle biopsy","55"
"30780","Diffuse cerebral atrophy seen on MRI","57"
"30781","T2-weighted hyperintensities in the basal ganglia","57"
"30782","Cortical degeneration","57"
"30783","Decreased pyramidal cells","57"
"30784","Microcystic degeneration","57"
"30785","Anemia (rare)","63"
"30786","Thrombocytopenia (rare)","63"
"30787","Aminoaciduria (rare)","72"
"30788","Death in infancy (in some patients)","73"
"30789","Decreased visual acuity (in some patients)","9"
"30790","Wolff-Parkinson-White syndrome (in some patients)","15"
"30791","Ventricular septal hypertrophy (in some patients)","15"
"30792","Reading difficulties","57"
"30793","Pyramidal tract signs (in some patients)","57"
"30794","T2-weighted hyperintensities in the basal ganglia, corpus callosum, and brainstem seen on MRI","57"
"30795","Subcortical white matter abnormalities","57"
"30796","Patient fibroblasts and muscle show decreased activities of mitochondrial complexes I, III, and IV","72"
"30797","Impaired mitochondrial translation","72"
"30798","Facial twitching","7"
"30799","Eye deviation","9"
"30800","Staring","9"
"30801","Poor eye contact (in some patients)","9"
"30802","Seizures, partial with secondary generalization, focal at onset, usually motor","57"
"30803","Psychomotor regression, severe","57"
"30804","Autonomic manifestations","57"
"30805","Migrating focal discharges from one cortical region to another seen on EEG","57"
"30806","Delayed myelination seen on MRI","57"
"30807","Neuronal loss in the hippocampus","57"
"30808","Onset of seizures in first 6 months of life","73"
"30809","Seizures become nearly continuous","73"
"30810","Normal development until onset of seizures","73"
"30811","Variable ictal semiology","73"
"30812","Microcephaly, postnatal (-2 to 4.4 SD)","6"
"30813","Dysmorphic features (in some patients)","7"
"30814","Poor visual tracking (in some patients)","9"
"30815","Swallowing difficulties (rare)","33"
"30816","Claw feet","48"
"30817","Lack of independent walking (in some patients)","57"
"30818","Spasticity, usually of the lower limbs","57"
"30819","Involuntary repetitive movements","57"
"30820","Brain MRI shows cerebellar hypoplasia","57"
"30821","Relative preservation of the cerebellar folia","57"
"30822","Reduced cerebral white matter","57"
"30823","Early-onset severe obesity","3"
"30824","Hyperphagia","33"
"30825","No beard","54"
"30826","Sparse pubic and axillary hair","54"
"30827","Sympathetic system dysfunction","58"
"30828","Low serum leptin levels (in most patients)","62"
"30829","High serum leptin levels (rare)","62"
"30830","Hypothalamic hypogonadism","62"
"30831","Low sex hormone-binding globulin levels","62"
"30832","Frequent infections in childhood","64"
"30833","Reduced number of CT4+ T cells (in some patients)","64"
"30834","Increase in CD8+ T cells (in some patients)","64"
"30835","Increase in B cells (in some patients)","64"
"30836","Marked reduction in CD4+/CD8+ ratio (in some patients)","64"
"30837","Reduced number of naive T cells (in some patients)","64"
"30838","T-cell hyporesponsiveness (in some patients)","64"
"30839","Some patients have a secreted but biologically inactive mutant leptin","73"
"30840","Hyperphagia and weight gain as well as immunologic abnormalities and hypogonadism can be reversed by exogenously administered recombinant leptin","73"
"30841","Respiratory insufficiency at birth, lethal","17"
"30842","Severe multiple joint contractures","46"
"30843","Muscle wasting, severe, primarily in the legs","55"
"30844","Muscle atrophy, primarily in the legs","55"
"30845","Clinical details not provided beyond a statement that the phenotype is 'identical to that of LCCS3' ","73"
"30846","Death due to respiratory insufficiency within minutes to hours after birth","73"
"30847","Polymorphic ventricular tachycardia induced by physical activity or stress","15"
"30848","Dizziness","15"
"30849","Prominent U-waves in anterior leads on electrocardiogram","15"
"30850","Premature ventricular contractions, including couplets and triplets of variable morphology","15"
"30851","Onset within the first decade of life","73"
"30852","Poor fixation and following","9"
"30853","Lack of gonadal tissue","37"
"30854","Testicular regression","37"
"30855","Poor spontaneous movements","57"
"30856","Rudimentary white matter","57"
"30857","Lack of ependymal cells","57"
"30858","Cerebellar neuronal loss","57"
"30859","Increased baseline gonadotropins","62"
"30860","Functional anorchia","62"
"30861","Breathing abnormalities","17"
"30862","Renal cysts (in some patients)","39"
"30863","Postaxial polydactyly (in some patients)","48"
"30864","Lack of independent ambulation","57"
"30865","Two families of French-Canadian origin have been reported (last curated December 2012)","73"
"30866","Hearing loss, progressive bilateral","8"
"30867","Congenital cataract, bilateral","9"
"30868","Normal heart","15"
"30869","Gastrointestinal problems","33"
"30870","Hydrocele testis","35"
"30871","Scaling of skin on hands and feet","50"
"30872","Predominance of type I fibers in muscle","55"
"30873","Muscular weakness (lower extremities)","55"
"30874","Low normal motor conduction velocity and absent sensory responses seen on EMG","55"
"30875","Chiari malformation type I","57"
"30876","Migraine-like episodes following stress or physical exertion","57"
"30877","Normal EEG","57"
"30878","Reduced myelinated fibers","58"
"30879","Low symmetric reflexes (in upper extremities)","58"
"30880","Sensory abnormalities (in lower extremities)","58"
"30881","Areflexia (in lower extremities)","58"
"30882","Uncomplicated pregnancy","70"
"30883","Uncomplicated delivery","70"
"30884","Complete absence of PEX11B in patient fibroblasts","72"
"30885","Decreased numbers of peroxisomes","72"
"30886","Enlarged and elongated peroxisomes","72"
"30887","Aberrant phenotype exacerbated by culturing at 40C","72"
"30888","No abnormalities in standard biochemical peroxisomal parameters in plasma, erythrocytes, or cultured skin fibroblasts","72"
"30889","One patient has been reported (last curated January 2017)","73"
"30890","Onset of disease precipitated by surgery to repair hydrocele testis at age 1.5 years","73"
"30891","Wheelchair assistance for distances required in adulthood","73"
"30892","Pierre-Robin sequence","7"
"30893","Cerebral thrombosis (rare)","16"
"30894","Dyspnea (rare)","17"
"30895","Hepatitis, chronic","29"
"30896","Glycogen accumulation seen on biopsy","29"
"30897","Glycogen accumulation seen on biopsy","55"
"30898","Rhabdomyolysis (in some patients) ENDOCRINE : Hypogonadotropic hypogonadism (rare)","55"
"30899","Delayed puberty METABOLIC : Hypoglycemia, episodic","55"
"30900","Decreased phosphoglucomutase 1 (PGM1) activity (less than 10% of normal values)","72"
"30901","Decreased antithrombin III (rare)","72"
"30902","Abnormal isoelectric focusing of serum transferrin (type 1 pattern) Loss of complete N-glycans","72"
"30903","Some increase in monosialo- and trisialotransferrin (type 1/2 pattern)","72"
"30904","Increased susceptibility to malignant hyperthermia","73"
"30905","Jaundice (in some patients), resolves postpartum","50"
"30906","Patients with ABCB4 mutations benefit from ursodeoxycholic acid (UDCA) treatment","73"
"30907","Tongue fasciculations (rare)","11"
"30908","Respiratory insufficiency requiring mechanical ventilation (in 1 family)","17"
"30909","Equinus foot deformities","48"
"30910","Deficiency of mitochondrial respiratory enzymes I, III, IV, and V","55"
"30911","Floppiness","57"
"30912","Little spontaneous limb movement","57"
"30913","Myoclonic jerks (rare)","57"
"30914","Prominent sulci","57"
"30915","Sural nerve biopsy shows lack of myelinated fibers (rare)","58"
"30916","Peripheral neuropathy (rare)","58"
"30917","Vesicular lesions, congenital bilateral, between ear and corner of mouth","7"
"30918","Polypoid lesions of buccal mucosa, 1 to 2 cm in diameter (in some patients)","11"
"30919","Vesicular lesions, congenital bilateral, between ear and corner of mouth","50"
"30920","Hyperpigmented rim with long fine hairs encircling the lesions (in some patients)","50"
"30921","Elastosis, nonreactive, deep and superficial","51"
"30922","Cleft palate (1 patient)","11"
"30923","Interventricular septal hypertrophy (1 patient)","15"
"30924","Macrovesicular steatosis (1 patient)","29"
"30925","Fibrosis, mild (1 patient)","29"
"30926","Muscle biopsy shows cytochrome c oxidase-negative fibers","55"
"30927","Decreased activities of mitochondrial complexes I, III, and IV","55"
"30928","Impaired mitochondrial respiration","55"
"30929","Delayed psychomotor development (in severe cases)","57"
"30930","Psychomotor regression (in milder cases)","57"
"30931","Spastic tetraparesis (in severe cases)","57"
"30932","Dystonia (in severe cases)","57"
"30933","Bradykinesia (in severe cases)","57"
"30934","Lack of head or postural control (in severe cases)","57"
"30935","Lack of speech (in severe cases)","57"
"30936","Swelling of the deep white matter seen on MRI","57"
"30937","T2-weighted hyperintensities in deep cerebral white matter, brainstem, and cerebellar white matter with sparing of the periventricular rim","57"
"30938","Swelling of the cerebral white matter","57"
"30939","Increased cerebral lactate","57"
"30940","Abnormal liver enzymes, intermittent (1 patient)","72"
"30941","Increased alpha-fetoprotein (1 patient)","72"
"30942","Two main phenotypes, severe and mild","73"
"30943","Mild cases show clinical, biochemical, and MRI improvement after the second year of life","73"
"30944","Acrocephaly (rare)","6"
"30945","Trigonocephaly (rare)","6"
"30946","Brachycephaly (rare)","6"
"30947","Frontal bossing (rare)","7"
"30948","Retrognathia (rare)","7"
"30949","Increased posterior angulation","8"
"30950","Protruding ears (rare)","8"
"30951","Sensorineural hearing loss, mild (rare)","8"
"30952","Nasolacrimal duct obstruction due to ectropion of lower eyelids (rare)","9"
"30953","Sparse eyebrows (rare)","9"
"30954","Narrow nares (rare)","10"
"30955","Multiple dental caries","12"
"30956","Webbed neck (rare)","13"
"30957","Tricuspid valve insufficiency (rare)","15"
"30958","Transposition of great vessels (rare)","16"
"30959","Elevated right hemidiaphragm","26"
"30960","Situs inversus totalis (rare)","27"
"30961","Left-sided liver (rare)","29"
"30962","Central position of liver","29"
"30963","Right-sided spleen (rare)","32"
"30964","Small penis (rare)","35"
"30965","Shawl scrotum (rare)","35"
"30966","Craniosynostosis (primarily metopic, but may also involve coronal or sagittal sutures)","43"
"30967","Coxa vara (rare)","45"
"30968","Radially deviated thumbs","47"
"30969","Absent middle phalanges","47"
"30970","Preaxial polydactyly, partial (rare)","47"
"30971","Clinodactyly, 5th finger (rare)","47"
"30972","Absent middle phalanges","48"
"30973","Developmental delay, variable severity","57"
"30974","One family has been reported (last curated November 2012)","73"
"30975","Myxomatous mitral valve","15"
"30976","Myxomatous tricuspid valve","15"
"30977","Left ventricular outflow tract obstruction","15"
"30978","Aortic dilation","16"
"30979","Variable cardiac phenotype","73"
"30980","Dystrophic fingernails","53"
"30981","Hyponychia","53"
"30982","Total alopecia at birth","54"
"30983","No eyebrows","54"
"30984","No eyelashes","54"
"30985","No axillary hair","54"
"30986","No pubic hair","54"
"30987","Two Pakistani families reported (last curated July 2014)","73"
"30988","Koilonychia (spoon nails)","53"
"30989","Atrichia","54"
"30990","Liver shows mitochondrial respiratory chain deficiencies of complexes III and IV","29"
"30991","Muscle biopsy shows peripheral accumulation of abnormal mitochondria","55"
"30992","Encephalomyopathy","57"
"30993","Hypotonia, global, severe","57"
"30994","Inability to sit or stand independently","57"
"30995","Loss of purposeful hand movements","57"
"30996","T2-weighted hyperintensities in the putamen and caudate nuclei","57"
"30997","Onset between 6 and 9 months after normal early development","73"
"30998","Static, nonprogressive disorder","73"
"30999","Two sibs have been reported (last curated November 2012)","73"
"31000","Hearing loss, bilateral","8"
"31001","Electron microscopy of patient respiratory cells shows absent inner and outer dynein arms","72"
"31002","Myoclonus, cortical, multifocal","57"
"31003","Frequent falls with preservation of consciousness","57"
"31004","Cerebellar ataxia, mild, late-onset","57"
"31005","One Canadian Mennonite family has been reported (last curated November 2012)","73"
"31006","Adult onset from second to seventh decade","73"
"31007","Myoclonus triggered by action, sudden movements, and inadvertent somatosensory stimuli","73"
"31008","Symptoms aggravated by fatigue, exertion, sleep deprivation, emotion, hunger","73"
"31009","Older patients become wheelchair-dependent","73"
"31010","Amazia, unilateral or bilateral","25"
"31011","Reduced sweating","50"
"31012","Brittle, sparse, or absent hair","54"
"31013","Ovarian teratomas containing hair and sebaceous and sweat glands developed in 1 patient","65"
"31014","Hyperpigmented skin on forehead, cheeks, and chin","7"
"31015","Periorbital wrinkling","9"
"31016","Hyperpigmented periorbital skin","9"
"31017","Atrophic rhinitis","10"
"31018","Recurrent nosebleeds","10"
"31019","Recurrent respiratory infections","10"
"31020","Peg-shaped teeth","12"
"31021","No eruption of permanent teeth (in some patients)","12"
"31022","Hypoplastic breasts","22"
"31023","Hypoplastic nipples","22"
"31024","Smooth dry skin","50"
"31025","Total absence of sweating","50"
"31026","No evidence of sweat glands","51"
"31027","<Munoz No hair follicle formation","51"
"31028","<Munoz","51"
"31029","Sparse lateral eyebrows","54"
"31030","Deafness, congenital nonprogressive sensorineural symmetric, moderate","8"
"31031","Vestibular hypofunction (rare)","8"
"31032","Deafness, nonprogressive, moderate","8"
"31033","Flat or shallow U-shaped audiogram","8"
"31034","Vestibular hyporeflexia","8"
"31035","Atrophy of the intrinsic hand muscles","47"
"31036","Difficulties in fine movement of the hands","57"
"31037","Dysarthria (mild)","57"
"31038","One family of Mali origin has been reported (last curated January 2013)","73"
"31039","Seizures, focal, partial, motor","57"
"31040","Vocalizations","57"
"31041","Hypermotor automatisms","57"
"31042","Nocturnal occurrence","57"
"31043","Behavioral disturbances (in some patients)","59"
"31044","Personality disorder (in some patients)","59"
"31045","Catatonia (in some patients)","59"
"31046","Onset in childhood (mean 6 years)","73"
"31047","Seizures may be refractory","73"
"31048","Inability to hold head","57"
"31049","Onset in the first months of life (3 to 7 months)","73"
"31050","Seizures are often refractory","73"
"31051","One family has been reported (last curated January 2013)","73"
"31052","Night blindness, congenital stationary, complete","9"
"31053","Preserved negative component (a-wave) on electroretinography","9"
"31054","Reduced positive component (b-wave) on electroretinography","9"
"31055","Cone-driven 1-Hz response with unusual waveform on electroretinography","9"
"31056","Cone-driven 29-Hz flicker ERG with broadened trough and mildly delayed implicit time","9"
"31057","No response to dim stimuli in dark-adapted state on electroretinography","9"
"31058","Retinal tears (in some patients)","9"
"31059","Based on 2 reported patients (last curated January 2013)","73"
"31060","Parkinsonism (in some)","57"
"31061","Impaired executive function (in some patients)","57"
"31062","Migraine (in some patients)","57"
"31063","Subcortical atrophy (in some patients)","57"
"31064","Subcortical and periventricular white matter abnormalities seen on MRI (in some patients)","57"
"31065","One large French family and 1 patient with sporadic occurrence have been reported (last curated January 2013)","73"
"31066","Variable age of onset of symptoms","73"
"31067","Hypotrichosis or alopecia","6"
"31068","Sparse or absent eyebrows","9"
"31069","Sparse or absent eyelashes","9"
"31070","Hypotrichosis or alopecia","54"
"31071","Sparse or absent eyebrows","54"
"31072","Sparse or absent eyelashes","54"
"31073","Normal pubic hair","54"
"31074","Intrafamilial variability in degree of hypotrichosis","73"
"31075","Hemolytic uremic syndrome (in some patients)","39"
"31076","Membranoproliferative glomerulonephritis seen on biopsy","39"
"31077","Thickening of the glomerular basement membrane","39"
"31078","Splitting of the basement membrane","39"
"31079","Focal capillary obliteration","39"
"31080","Effacement of podocyte foot processes","39"
"31081","Patchy deposition of IgG and IgM","39"
"31082","Subendothelial deposits","39"
"31083","Swelling of endothelial cells","39"
"31084","Chronic thrombotic microangiopathy","39"
"31085","End-stage renal failure (in some patients)","39"
"31086","Hemolytic anemia (in some patients)","63"
"31087","Normal serum complement levels","72"
"31088","Onset usually in the first decade (range 0.8 to 5 years)","73"
"31089","Atypical hemolytic-uremic syndrome shows onset in first 12 months","73"
"31090","Some patients may show response to immunosuppressive agents","73"
"31091","Some patients do not reach end-stage renal failure","73"
"31092","Full, arched eyebrows","9"
"31093","Bulbous tip","10"
"31094","Oromotor sensitivity","11"
"31095","Difficulty eating solid food Gastric reflux","33"
"31096","Renal defects (in some patients)","39"
"31097","Ventricular abnormalities (in some patients)","57"
"31098","White matter defects (in some patients)","57"
"31099","Recurrent de novo mutation","73"
"31100","Delayed development, severe","57"
"31101","Dystonia, severe (in all limbs)","57"
"31102","Bilateral striatal necrosis","57"
"31103","Signal changes in the caudate and putamen","57"
"31104","Leukodystrophy (in some patients)","57"
"31105","Upregulation of alpha-interferon-stimulated genes","72"
"31106","Onset of symptoms often associated with nonspecific febrile illness","73"
"31107","Rapidly progressive deterioration (in some patients)","73"
"31108","Diminished facial expression","7"
"31109","Ptosis, unilateral or more severe on one side","9"
"31110","Lagophthalmos (rare)","9"
"31111","Pseudoexophthalmos (rare)","9"
"31112","Central tongue atrophy (in some patients)","11"
"31113","Furrowed tongue","11"
"31114","Scoliosis, mild to severe (in some patients)","44"
"31115","Dislocated hips, bilateral (in some patients)","45"
"31116","Contractures of shoulders","46"
"31117","Contractures of wrists","46"
"31118","Extension contractures of knees","46"
"31119","Relative sparing of upper extremities (in some patients)","46"
"31120","Adducted wrists","47"
"31121","Relative sparing of index finger (in some patients)","47"
"31122","Camptodactyly, mild","48"
"31123","Calcaneovalgus deformity","48"
"31124","Pterygia of neck (in some patients)","50"
"31125","Pterygia of axillae (in some patients)","50"
"31126","Pterygia of elbows (in some patients)","50"
"31127","Pterygia of groin (in some patients)","50"
"31128","Decreased muscle mass (predominantly in lower extremities)","55"
"31129","Diminished fetal movements (in some patients)","67"
"31130","Patients do not exhibit ophthalmoplegia","73"
"31131","Sinusitis, recurrent","10"
"31132","Rhinorrhea","10"
"31133","Complex cardiac malformations (in some patients)","15"
"31134","Normal fertility","37"
"31135","Respiratory epithelial show lack of ciliary movement or abnormal movement","72"
"31136","Electron microscopy of patient respiratory cells shows loss of ciliary outer dynein arms","72"
"31137","Short stature (<3.5 SD below the mean)","2"
"31138","Low weight (<3.5 SD below the mean)","3"
"31139","Microcephaly (<3.5 SD below the mean)","6"
"31140","Epiphyseal changes in the proximal phalanges, mild","47"
"31141","Short stature (fifth to tenth centile)","2"
"31142","Truncated ulnar styloid process","46"
"31143","Normally developed fibula","46"
"31144","Shortening of middle phalanges of digits 2 to 5","47"
"31145","Shortening of first distal phalanx","47"
"31146","Shortening of first metacarpal","47"
"31147","Third to fifth metacarpals less shortened","47"
"31148","Shortening of middle phalanges of digits 2 to 5","48"
"31149","Shortening of first distal phalanx","48"
"31150","Shortening of first metatarsal","48"
"31151","Third to fifth metatarsals less shortened","48"
"31152","Clubfeet (in some patients) <2 of 3 sibs","48"
"31153","Heterozygotes demonstrate a milder phenotype, consistent with a semidominant inheritance pattern","73"
"31154","Fine erythrodermic scales, generalized","50"
"31155","Palmoplantar hyperlinearity","50"
"31156","Large brownish scales on lower extremities (in some patients)","50"
"31157","Orthohyperkeratosis, thick","51"
"31158","Perivascular lymphocytic infiltrates, mild","51"
"31159","Mild alopecia","54"
"31160","Jaw dystonia","11"
"31161","Average age at onset 31 years (range 7 to 54)","73"
"31162","Onset usually in the neck","73"
"31163","Dystonia is usually focal or segmental","73"
"31164","Generalized dystonia in some cases","73"
"31165","Ichthyosis, generalized, including flexures","50"
"31166","Fine greyish-white scales","50"
"31167","Moderate erythroderma","50"
"31168","Squamous pityriasiform appearance of scalp","50"
"31169","Thick cornified layer","51"
"31170","Marked desquamation of upper loosely packed scales","51"
"31171","Increased amounts of keratohyalin","51"
"31172","Regularly spaced holes in granular layer","51"
"31173","More than 40 layers of cornified lamellae","52"
"31174","Numerous vesicular structures within granular layer cells","52"
"31175","Tics (in some patients)","59"
"31176","Easy frustration (in some patients)","59"
"31177","Three unrelated patients have been reported (last curated September 2013)","73"
"31178","Small, angulated muscle fibers seen on muscle biopsy","55"
"31179","Sarcomere disappearance seen on muscle biopsy","55"
"31180","Disorganized myofilaments seen on muscle biopsy","55"
"31181","Mitochondrial vacuolization seen on muscle biopsy","55"
"31182","Symmetrical muscle wasting","55"
"31183","Weakness of distal lower limbs","58"
"31184","Muscle atrophy in distal forearm and hands","58"
"31185","Decreased or absent deep tendon reflexes","58"
"31186","Deep sensory impairment, mild to moderate","58"
"31187","One 5-generation Chinese family reported (last curated November 2014)","73"
"31188","Visual defects","9"
"31189","Spastic diplegia, progressive","57"
"31190","Increased plasma acylcarnitine levels (if untreated)","72"
"31191","Mutation carrier is clinically asymptomatic","73"
"31192","Offspring of mutation carrier may show clinical signs of secondary riboflavin deficiency in the neonatal period","73"
"31193","Riboflavin supplementation normalizes any clinical or biochemical changes","73"
"31194","Skin blistering, intermittent","50"
"31195","Residual slightly atrophic scarring","50"
"31196","Residual postinflammatory hyperpigmentation, moderate","50"
"31197","Diffuse pigmentary skin mottling, mild, on trunk and proximal limbs","50"
"31198","Irregular ruffled or jagged appearance at dermal-epidermal junction","51"
"31199","Basement membrane keratinocyte disruption within lower epidermis","52"
"31200","Aggregated intermediate filaments","52"
"31201","Increased number of perinuclear vesicles","52"
"31202","Vesicles clustered near plasma membrane","52"
"31203","Skin lesions are primarily trauma-induced but occasionally appear spontaneously","73"
"31204","Asthenozoospermia (in some patients)","37"
"31205","Upper limb hyperreflexia (in some patients)","57"
"31206","Dystonic posturing (rare)","57"
"31207","Cognitive impairment (rare)","57"
"31208","Thin corpus callosum (rare)","57"
"31209","White matter abnormalities (rare)","57"
"31210","Basal ganglia calcifications (rare)","57"
"31211","Axonal neuropathy, subclinical","58"
"31212","Onset in the first decade (range birth to 8 years)","73"
"31213","C3HEX, decreased ability to smell","10"
"31214","C3HEX, decreased ability to smell","57"
"31215","C3HEX (cis-3-hexen-1-ol) is commonly associated with sensory characteristics such as 'green' and 'grassy'","73"
