"pid","description","tid","des_ch"
"31612","Acanthosis","9","黑棘"
"31613","Parakeratosis","9","角化不全"
"31614","Dyskeratotic keratinization","9","角化过度角化"
"31615","Bowman membrane absent","9","鲍曼膜缺席"
"31616","Stromal inflammatory infiltrate","9","基质炎性浸润"
"31617","Alveolysis leading to tooth loss (in some patients)","12","导致牙齿脱落的腐败（在一些患者中）"
"31618","Epithelial dyskeratosis of vocal cords (in some patients)","19","声带上皮角化不良（某些患者）"
"31619","Maxillary decalcification (in some patients)","43","上颌骨脱钙（部分患者）"
"31620","Finger joint hypermobility (in some patients)","47","手指关节过度活动（某些患者）"
"31621","Pruritic hyperkeratotic scars (in some patients)","50",
"31622","Hyperkeratosis pilaris (in some patients)","50",
"31623","Prominent thickening of nail beds (in some patients)","53",
"31624","Squamous cell carcinoma","53",
"31625","Fifth finger duplication, well-formed","47","五指复制，格式正确"
"31626","Broad fifth finger, unilateral or bilateral","47","宽阔的五指，单侧或双侧"
"31627","Deviation of fifth finger, radial or ulnar, to variable degree","47","第五指，桡骨或尺骨的偏差可变程度"
"31628","Duplicated distal phalanx of fifth finger (in some patients)","47","第五指的重复远端指骨（在一些患者中）"
"31629","Small central phalanx of fifth finger (in some patients)","47","第五指的小中央指骨（在一些患者中）"
"31630","Fifth toe duplication, well-formed","48","第五脚趾重复，结构良好"
"31631","Reported in 1 family (last curated May 2013)","73",
"31632","Variable degree of severity of widening and deviation of fifth fingers, both within and between affected individuals","73",
"31633","Pallor of the optic disks (in some patients)","9","视盘的苍白（在一些患者中）"
"31634","Spasticity, lower limbs greater than upper limbs","57","痉挛，下肢大于上肢"
"31635","Independent walking never achieved","57","独立行走从未实现过"
"31636","White matter lesions in the supratentorial white matter, brainstem, cerebellum, and spinal cord","57","在幕上白质，脑干，小脑和脊髓的白质病变"
"31637","Small renal cysts","39","小肾囊肿"
"31638","Lipid droplets seen on muscle biopsy","55","在肌肉活检中看到的脂滴"
"31639","Abnormal primitive reflexes","57","原始反射异常"
"31640","Tonus dysregulation","57","Tonus失调"
"31641","Cerebral damage","57","脑损伤"
"31642","Subcortical lesions","57","皮质下病变"
"31643","Cystic degeneration of the white matter","57","白质的囊性变性"
"31644","Pons damage","57","庞斯伤害"
"31645","Brainstem damage","57","脑干损伤"
"31646","High-pitched cry","60",
"31647","Fibroblasts show decreased mitochondrial complex V activity","72",
"31648","Decreased mitochondrial complex V assembly","72",
"31649","Death in first weeks of life","73",
"31650","Two sibs have been reported (last curated May 2013)","73",
"31651","Fetal akinesia","55","胎儿运动不能"
"31652","Fetal akinesia","57","胎儿运动不能"
"31653","Malformations of cortical development","57","皮质发育的畸形"
"31654","Thin cortex","57","皮质薄"
"31655","Gyral simplification","57","Gyral简化"
"31656","Delayed cerebellar development (in some patients)","57","小脑发育迟缓（部分患者）"
"31657","Delayed brainstem development (in some patients)","57","延迟脑干发育（某些患者）"
"31658","Automutilation","59",
"31659","Strabismus (1 family)","9","斜视（1科）"
"31660","Ophthalmoplegia (1 family)","9","眼肌麻痹（1科）"
"31661","Urinary incontinence (1 family)","41","尿失禁（1家庭）"
"31662","Syndactyly (1 family)","47","Syndactyly（1个家庭）"
"31663","Pes planus (1 family)","48","Pes计划（1个家庭）"
"31664","Syndactyly (1 family)","48","Syndactyly（1个家庭）"
"31665","Distal limb muscle atrophy, lower more than upper","55","远端肢体肌肉萎缩，低于上肢"
"31666","Distal limb muscle weakness, lower more than upper","55","四肢远端肌无力，低于上肢"
"31667","Proximal muscles may be mildly affected","55","近端肌肉可能受轻度影响"
"31668","Muscle biopsy shows neurogenic angulated fibers","55","肌肉活检显示神经源性角形纤维"
"31669","Fiber-type grouping","55","光纤类型分组"
"31670","Mental retardation (1 family)","57","精神发育迟滞（1科）"
"31671","Brain atrophy (1 family)","57","脑萎缩（1科）"
"31672","Peripheral neuropathy causing distal leg weakness","58","周围神经病变导致远端腿无力"
"31673","Gait abnormalities","58","步态异常"
"31674","Position and vibratory senses more impaired than pain and temperature senses","58","位置和振动感觉比疼痛和温度感更受损害"
"31675","Focally folded myelin (1 family)","58","局部折叠髓鞘（1科）"
"31676","Onion bulb formation (1 family)","58","洋葱鳞茎形成（1科）"
"31677","Regenerating clusters of axons","58","再生轴突簇"
"31678","Two families have been reported (last curated December 2014)","73",
"31679","Onset between 5 and 20 years","73",
"31680","Patients may become wheelchair-bound as adults","73",
"31681","One consanguineous Saudi family had additional features of microcephaly, mental retardation, ophthalmoplegia, and syndactyly","73",
"31682","Enlarged kidneys due to extramedullary hematopoiesis","39","由于髓外造血引起的肾脏扩大"
"31683","Delayed psychomotor development (in 1 family)","57","延迟精神运动发育（1个家庭）"
"31684","Extramedullary hematopoiesis","63",
"31685","Nucleated red cells in peripheral blood","63",
"31686","Bone marrow fibrosis","63",
"31687","Bone marrow shows abnormal development of neutrophils","63",
"31688","Recurrent infections, bacterial and fungal","64",
"31689","Neutrophil dysfunction","64",
"31690","Hypergammaglobulinemia","64",
"31691","Early death from infection may occur","73",
"31692","Bone-spicule pigment clumping","9","骨针色素结块"
"31693","Optic disc pallor (in some patients)","9","视盘苍白（部分患者）"
"31694","Tritan color vision deficits (in some patients)","9","Tritan色觉缺陷（某些患者）"
"31695","Severe loss of rod and cone function on electroretinography","9","视网膜电图严重丧失视杆和视锥功能"
"31696","Cone implicit times consistent with progressive disease","9","锥形隐性时间与进行性疾病一致"
"31697","Wide range of severity between affected members of the same family","73",
"31698","Mild brain anomalies on MRI (e.g., dilated ventricles) (in some patients)","57","MRI上的轻度脑异常（例如，扩张的心室）（在一些患者中）"
"31699","Growth retardation (in some patients)","1",
"31700","Marked pallor of mucous membranes","9","显着的粘膜苍白"
"31701","Marked pallor of mucous membranes","11","显着的粘膜苍白"
"31702","Gonadal atrophy","38","性腺萎缩"
"31703","Marked skin pallor","50",
"31704","Cafe au lait spots (in some patients)","50",
"31705","Dysfunction of hypothalamo-pituitary-gonadal axis","62",
"31706","Adrenal failure (in some patients)","62",
"31707","Thyroid failure (in some patients)","62",
"31708","Anemia, severe","63",
"31709","Elevated serum ferritin","63",
"31710","Low serum transferrin","63",
"31711","Increased transferrin saturation","63",
"31712","Aniso-poikilocytosis on blood smear","63",
"31713","Erythropoietic hyperplasia of bone marrow","63",
"31714","Patients have severe anemia requiring regular transfusions for normal activity","73",
"31715","One family reported (last curated May 2013)","73",
"31716","Testicular hypoplasia","35","睾丸发育不全"
"31717","Nodular heterotopia","57","结节性异位"
"31718","Onset in utero","72",
"31719","Early death","72",
"31720","Cardiomyopathy, dilated, severe","15","心肌病，扩张，严重"
"31721","Markedly decreased ejection fraction","15","射血分数明显减少"
"31722","Loss of endothelial cells seen on myocardial biopsy","15","心肌活检中可见内皮细胞缺失"
"31723","Severely shortened small intestine","33","严重缩短小肠"
"31724","Intermittent obstruction (in some patients)","33","间歇性阻塞（部分患者）"
"31725","Decreased intestinal transit time","33","减少肠道通过时间"
"31726","Abnormal peristalsis","33","蠕动异常"
"31727","Intestinal neuronal dysplasia (in some patients)","33","肠神经发育不良（某些患者）"
"31728","High infant mortality due to malnutrition as well as complications of parenteral nutrition","73",
"31729","Hip dysplasia (in some patients)","45","髋关节发育不良（部分患者）"
"31730","Knee contractures (in some patients)","46","膝关节挛缩（某些患者）"
"31731","Muscle weakness, proximal and distal (predominant lower limb involvement)","55","肌肉无力，近端和远端（主要是下肢受累）"
"31732","Muscle atrophy, proximal and distal (predominant lower limb involvement)","55","肌肉萎缩，近端和远端（主要是下肢受累）"
"31733","Fasciculations (in some patients)","55","肌束震颤（某些患者）"
"31734","Neurogenic abnormalities seen on EMG","55","肌电图上出现神经源性异常"
"31735","Groups of atrophic fibers seen on muscle biopsy (type I fiber predominance)","55","在肌肉活检中看到的一组萎缩性纤维（I型纤维占优势）"
"31736","Toe-walking","57","脚趾行走"
"31737","Upper motor signs (in some patients)","57","上部运动标志（某些患者）"
"31738","Loss of motor neurons in the anterior horn of the spinal cord","57","脊髓前角运动神经元的丢失"
"31739","Hyporeflexia, distal","58","偏瘫，远端"
"31740","Areflexia, distal","58","Areflexia，远端"
"31741","Onset in early first decade, although some patients have onset at birth or early in infancy","73",
"31742","Slowly or non-progressive","73",
"31743","Normal adipose tissue on the face","7","脸上的正常脂肪组织"
"31744","Normal adipose tissue around the neck","13","颈部周围的正常脂肪组织"
"31745","Secondary pancreatitis","30","继发性胰腺炎"
"31746","Lack of adipose tissue on limbs and femorogluteal regions","55","肢体和股骨臀区缺乏脂肪组织"
"31747","Preservation of visceral, neck, and axillary fat pads","55","保护内脏，颈部和腋窝脂肪垫"
"31748","Adipose tissue shows many adipocytes with multiple small lipid droplets rather than a normal single lipid droplet","55","脂肪组织显示许多脂肪细胞具有多个小脂滴而不是正常的单个脂滴"
"31749","Increased focal mitochondrial density","55","增加局灶性线粒体密度"
"31750","Increased resting metabolic rate","61",
"31751","Diabetes mellitus, insulin-resistant","62",
"31752","Dyslipidemia","72",
"31753","Decreased leptin","72",
"31754","Decreased adiponectin","72",
"31755","One patient has been reported (as of curation date May, 2013)","73",
"31756","Myofibromatosis","55","肌纤维瘤病"
"31757","One family has been reported and no additional clinical features were provided (last curated June 2013)","73",
"31758","Sinusitis, chronic","7","鼻窦炎，慢性"
"31759","Electron microscopy of patient respiratory cells shows normal inner and outer dynein arms, but lack of nexin links","20","患者呼吸细胞的电子显微镜显示正常的内部和外部动力蛋白臂，但缺乏nexin链接"
"31760","Respiratory epithelia show increased beat frequency, but decreased bending amplitude","20","呼吸上皮显示出增加的搏动频率，但弯曲幅度减小"
"31761","Four patients have been reported (last curated June 2013)","73",
"31762","Hearing loss, sensorineural (in 1 Ashkenazi patient)","8","听力丧失，感觉神经（1名德系患者）"
"31763","Cortical blindness (in 1 Moroccan patient)","9","皮质性失明（1名摩洛哥患者）"
"31764","Abnormal glomeruli seen on biopsy","39","在活组织检查中看到异常的肾小球"
"31765","Hypercellularity","39","细胞过多"
"31766","Immature podocytes","39","未成熟的足细胞"
"31767","Foot process effacement","39","脚过程擦除"
"31768","Thinning of the glomerular basement membrane","39","肾小球基底膜变薄"
"31769","Swollen endothelial cells","39","肿胀的内皮细胞"
"31770","Intellectual disability (in 1 Ashkenazi patient)","57","智力残疾（1名德系患者）"
"31771","Cortical blindness (in 1 Moroccan patient)","57","皮质性失明（1名摩洛哥患者）"
"31772","Seizures (in 1 Moroccan patient","57","癫痫发作（1名摩洛哥患者"
"31773","Fatal if renal transplant is not performed","73",
"31774","Cutis aplasia of scalp","6","皮肤发达的头皮发育不全"
"31775","Patent ductus arteriosus (rare)","16","动脉导管未闭（罕见）"
"31776","Bony defect of scalp underlying cutis aplasia (in some patients)","43","头皮发育不全的头皮骨缺损（部分患者）"
"31777","Absent distal phalanges of some or all toes (in some patients)","48","部分或全部脚趾远端趾骨缺失（部分患者）"
"31778","Absent middle phalanges of some toes (rare)","48","缺少一些脚趾的中间指骨（罕见）"
"31779","Hypoplastic toes (rare)","48","发育不良的脚趾（罕见）"
"31780","Soft tissue syndactyly (rare)","48","软组织无关紧要（罕见）"
"31781","Aplasia cutis of scalp","50",
"31782","Cutis marmorata (rare)","50",
"31783","Cafe-au-lait spots on chest and abdomen (rare)","50",
"31784","Aplastic toenails","53",
"31785","Temporal lobe infarct (rare)","57","颞叶梗塞（罕见）"
"31786","Occipital lobe infarct (rare)","57","枕叶梗塞（罕见）"
"31787","Hearing loss, more severe at lower frequencies","8","听力损失，在较低频率下更严重"
"31788","Upsloping audiograms","8","高级听力图"
"31789","Increased gonadotropin levels (in female patients)","62",
"31790","Retinal dysfunction","9","视网膜功能障碍"
"31791","Increased muscle tone at birth","55","出生时肌肉张力增加"
"31792","Hypoglycosylation of alpha-dystroglycan seen on muscle biopsy","55","在肌肉活检中看到的α-肌营养不良的高糖基化"
"31793","Inability to walk unsupported","57","无法行走不受支持"
"31794","One patient has been reported (last curated July 2013)","73",
"31795","Myopathic face","7","肌无力的脸"
"31796","Long QT syndrome (1 patient)","15","长QT综合征（1例患者）"
"31797","Left ventricular dilatation (1 patient)","15","左心室扩张（1例患者）"
"31798","Generalized muscle wasting","55","全身肌肉萎缩"
"31799","Increased muscle tone (early in life)","55","增加肌肉张力（生命早期）"
"31800","Dystrophic features seen on muscle biopsy","55","在肌肉活检中看到的营养不良特征"
"31801","Delayed or absent independent walking","57","独立行走延迟或缺席"
"31802","Vision limited to detection of hand motion","9","视力仅限于检测手部动作"
"31803","Extinguished responses on electroretinography","9","视网膜电图的熄灭反应"
"31804","Clinically unaffected heterozygotes may show changes on electroretinography","73",
"31805","Clinical features based on 1 reported family (last curated August 2013)","73",
"31806","Postnatal growth failure (in some patients)","2",
"31807","Tetany, hypocalcemic (in some patients)","57","Tetany，低血钙（某些患者）"
"31808","Basal ganglia calcifications (in some patients)","57","基底神经节钙化（某些患者）"
"31809","Tetany, hypocalcemic (in some patients)","58","Tetany，低血钙（某些患者）"
"31810","Hypocalcemia","62",
"31811","Parathyroid hormone levels low to low-normal","62",
"31812","Serum phosphorus normal or mildly elevated","62",
"31813","Motor abnormalities","57","电机异常"
"31814","Perioral dyskinesias","57","口周运动障碍"
"31815","Cerebral atrophy, diffuse","57","脑萎缩，弥漫性"
"31816","Accumulation of autofluorescent material in neurons","57","神经元中自发荧光物质的积累"
"31817","Skin fibroblasts show osmiophilic cytoplasmic inclusions","72",
"31818","Continued growth into adulthood (in male and female patients)","2",
"31819","Early atherosclerosis of coronary artery (in male patient)","15","冠状动脉早期动脉粥样硬化（男性患者）"
"31820","Absent breast development","25","缺席乳房发育"
"31821","Breast development unresponsive to oral estrogen","25","乳房发育对口服雌激素无反应"
"31822","Tanner stage 4 pubic hair","36","坦纳阶段4阴毛"
"31823","Large multicystic ovaries","38","大型多囊卵巢"
"31824","Delayed bone age (in male and female patients)","42","骨龄延迟（男性和女性患者）"
"31825","Low trabecular volumetric bone density (in male patient)","42","低骨小梁容积骨密度（男性患者）"
"31826","Low cortical volumetric bone density (in male patient)","42","低皮质体积骨密度（男性患者）"
"31827","Decreased bone mineral density of lumbar spine (in male patient)","44","腰椎骨密度下降（男性患者）"
"31828","Incomplete epiphyseal closures in adulthood (in male and female patients)","46","成年期骨骺闭合不完全（男性和女性患者）"
"31829","Acanthosis nigricans, axillary (in male patient)","50",
"31830","Severe facial acne (in female patient)","50",
"31831","Elevated serum estradiol (in male and female patients)","62",
"31832","Elevated serum estrone (in male and female patients)","62",
"31833","Elevated serum follicle-stimulating hormone (in male and female patients)","62",
"31834","Elevated serum luteinizing hormone (in male and female patients)","62",
"31835","Hyperinsulinemia (in male patient)","62",
"31836","Impaired glucose tolerance (in male patient)","62",
"31837","Based on 2 reported patients, 1 male and 1 female (last curated August 2013)","73",
"31838","Low anterior hairline (in some patients)","6","前发际线低（部分患者）"
"31839","Minor ear anomalies (in some patients)","8","轻微耳部异常（部分患者）"
"31840","Blepharoptosis (in some patients)","9","上睑下垂（某些患者）"
"31841","Malocclusion, class I/II (in some patients)","12","错（牙合），I / II级（部分患者）"
"31842","Coronal synostosis, unilateral or bilateral","43","冠状性骨性关节炎，单侧或双侧"
"31843","Sagittal synostosis","43","矢状面骨性关节炎"
"31844","Transverse palmar crease (in some patients)","47","横向手掌折痕（部分患者）"
"31845","Hallux valgus (in some patients)","48","拇外翻（部分患者）"
"31846","Syndactyly between adjacent toes (in some patients)","48","相邻脚趾之间的相关性（在一些患者中）"
"31847","Learning disability (in some patients)","57","学习障碍（在一些患者中）"
"31848","Asperger syndrome (rare)","57","阿斯伯格综合症（罕见）"
"31849","Autism (rare)","57","自闭症（罕见）"
"31850","Prominent ventricles (in some patients)","57","突出的心室（在一些患者中）"
"31851","Prominent CSF spaces (in some patients)","57","突出的CSF空间（在一些患者中）"
"31852","Agenesis of corpus callosum, partial or complete (rare)","57","胼um体发育，部分或完全（罕见）"
"31853","Thin bones","42","瘦骨头"
"31854","Muscle biopsy shows atrophic fibers","55","肌肉活检显示萎缩性纤维"
"31855","EMG may show myopathic features","55","肌电图可能显示肌病特征"
"31856","Lack of spontaneous movement","57","缺乏自发运动"
"31857","Intracranial bleeding","57","颅内出血"
"31858","Photosensitivity (in some patients)","9","光敏性（某些患者）"
"31859","Onset between ages 1 to 3 years","73",
"31860","Patients can have multiple seizure types","73",
"31861","Heart failure (biventricular in some patients)","15","心力衰竭（某些患者的双心室）"
"31862","Atrial dilation (bilateral in some patients)","15","心房扩张（部分患者双侧）"
"31863","Ventricular dilation (bilateral in some patients)","15","心室扩张（部分患者双侧）"
"31864","Cardiac arrhythmias (in some patients)","15","心律失常（某些患者）"
"31865","Mitral valve insufficiency (in some patients)","15","二尖瓣功能不全（部分患者）"
"31866","Thickening of ventricular noncompacted layer (in some patients)","15","心室非致密化层增厚（部分患者）"
"31867","Thinning of ventricular compacted layer (in some patients)","15","心室压缩层变薄（部分患者）"
"31868","Myocyte disarray on cardiac biopsy","15","心肌活检时肌细胞混乱"
"31869","Decreased visual acuity, rapidly progressive","9","视力下降，迅速进展"
"31870","Foveal hyperpigmentation","9","黄斑中心凹色素沉着"
"31871","Foveal hyperfluorescence","9","中心凹高荧光"
"31872","Foveal atrophy (in some patients)","9","中心凹萎缩（部分患者）"
"31873","Defects in all axes of color vision","9","所有颜色视觉轴的缺陷"
"31874","Lack of photoreceptors in fovea by optical coherence tomography","9","通过光学相干断层扫描术在中央凹缺乏光感受器"
"31875","Nondetectable photopic responses on electroretinography","9","视网膜电图检查中无法检测到的明视反应"
"31876","Reduced scotopic responses on electroretinography","9","减少对视网膜电图的暗视反应"
"31877","Onset of symptoms in the second decade of life","73",
"31878","Rare ventricular extrasystoles","15","罕见的室性期外收缩"
"31879","Scapular winging, mild","24","肩胛翼，轻度"
"31880","Proximal muscle weakness, limb-girdle distribution","55","近端肌无力，肢带分布"
"31881","Limb muscle atrophy","55","肢体肌肉萎缩"
"31882","Muscle biopsy shows dystrophic features","55","肌肉活检显示营养不良的特征"
"31883","Type 2 fiber predominance","55","2型纤维占优势"
"31884","No myofibrillar abnormalities or protein aggregation","55","没有肌原纤维异常或蛋白质聚集"
"31885","Onset between 15 and 27 years","73",
"31886","Patients become wheelchair-bound as adults","73",
"31887","Two sibs have been reported (last curated July 2013)","73",
"31888","Sural nerve biopsy shows thin myelination","58","腓肠神经活检显示髓鞘变薄"
"31889","Hyperpigmentation in a reticular pattern primarily on flexural skin","50",
"31890","Hypopigmentation in a reticular pattern primarily on flexural skin","50",
"31891","Hypopigmented macules on neck, chest, and back (in some patients)","50",
"31892","Hyperkeratotic papules, dark brown, on neck, chest, and back (in some patients)","50",
"31893","Hyperkeratosis with multiple horny follicular plugs","51",
"31894","Papillary epidermal downgrowth","51",
"31895","Abnormal basal pigment-granule distribution","51",
"31896","Sporadic melanin granules and melanophages in superficial layer of dermis","51",
"31897","Small melanocytes","52",
"31898","Melanocytes lack melanosomes","52",
"31899","Normal keratin filaments","52",
"31900","Asymptomatic skin lesions begin on neck in third decade of life","73",
"31901","Atrial fibrillation, paroxysmal","15","心房颤动，阵发性"
"31902","Left atrial enlargement on echocardiography","15","超声心动图左心房扩大"
"31903","Saddle-back ST-segment elevation in precordial leads (in some patients)","15","胸前导联鞍背ST段抬高（部分患者）"
"31904","Aortic stenosis (in some patients)","15","主动脉瓣狭窄（部分患者）"
"31905","Saddle-back ST-segment elevation shows beat-to-beat and day-to-day variability","73",
"31906","Microcephaly, borderline, acquired (in some patients)","6","小头畸形，边缘，获得（在一些患者中）"
"31907","Normal numbers of sweat glands","50",
"31908","Three families have been reported (last curated July 2013)","73",
"31909","Saddle-back ST-segment elevation in precordial leads","15","胸前导联的鞍背ST段抬高"
"31910","Left atrial enlargement on echocardiography (in some patients)","15","超声心动图左心房扩大（部分患者）"
"31911","Widely-spaced nipples","25","宽间距的乳头"
"31912","Defects in mitochondria respiratory activities, mainly complexes I, II, and IV","55","线粒体呼吸活动的缺陷，主要是复合物I，II和IV"
"31913","Defects in lipoate-containing mitochondrial enzyme complexes","55","含硫辛酸的线粒体酶复合物的缺陷"
"31914","Absent primitive reflexes","57","没有原始的反应"
"31915","Hypoplasia of the medulla oblongata","57","延髓的发育不全"
"31916","Cortical cytotoxic edema","57","皮质细胞毒性水肿"
"31917","Increased serum and CSF glycine","72",
"31918","Death in the perinatal period","73",
"31919","Poor breast development (in women)","25","乳房发育不良（女性）"
"31920","Scleroderma-like changes","50",
"31921","Loss of subcutaneous fat, particularly affecting the limbs","55","皮下脂肪减少，尤其影响四肢"
"31922","Loss of subcutaneous fat, generalized","55","皮下脂肪减少，一般化"
"31923","Increased visceral fat","55","内脏脂肪增加"
"31924","Hypogonadism (in males)","62",
"31925","Onset of lipodystrophy in early childhood","73",
"31926","Onset of hearing loss in first or second decade","73",
"31927","Pulmonic stenosis (in some patients)","15","肺动脉狭窄（部分患者）"
"31928","Some patients show onset in childhood","73",
"31929","Progressive renal disorder","73",
"31930","Abnormal eye movements (in some patients)","9","眼球运动异常（部分患者）"
"31931","Jerky smooth pursuit (in some patients)","9","生硬的顺利追求（在一些患者中）"
"31932","Two unrelated families have been reported (last curated August 2013)","73",
"31933","Loss of eye contact","9","失去目光接触"
"31934","Seizures, tonic, clonic, focal","57","癫痫发作，滋补，阵挛，焦点"
"31935","Prolonged seizures","57","癫痫发作时间延长"
"31936","Migrating clonic jerks (in some patients)","57","迁移阵挛性混蛋（在一些患者中）"
"31937","Multifocal spikes and progressive slowing of background activity seen on EEG","57","脑电图上出现多灶性尖峰和背景活动逐渐减慢"
"31938","Progressive cerebral atrophy seen on MRI","57","在MRI上看到进行性脑萎缩"
"31939","High frequency seizures","73",
"31940","Seizures may be triggered by infection","73",
"31941","Seizures are refractory to medication","73",
"31942","Most patients die in childhood","73",
"31943","T cell dysfunction","64",
"31944","Hypereosinophilia","64",
"31945","Decreased number of TCR alpha/beta+ T cells","64",
"31946","Two unrelated patients have been reported (last curated August 2013)","73",
"31947","Right heart failure","15","右心衰竭"
"31948","Increased pulmonary artery pressure","16","肺动脉压增高"
"31949","Pulmonary artery vascular wall remodeling","16","肺动脉血管壁重塑"
"31950","Pulmonary arteries show medial hypertrophy","16","肺动脉显示内侧肥大"
"31951","One family and 1 unrelated patient have been reported (last curated July 2013)","73",
"31952","Pulmonary arterial vascular wall remodeling","16","肺动脉血管壁重塑"
"31953","Pulmonary arteries show intimal fibrosis","16","肺动脉显示内膜纤维化"
"31954","Granular retinal pigmentation, mild (in 1 patient)","9","颗粒状视网膜色素沉着，轻度（1例患者）"
"31955","Microvesicular steatosis in cardiomyocytes","15","心肌细胞的微泡脂肪变性"
"31956","Decreased levels and activity of mitochondrial respiratory complexes I and IV","15","线粒体呼吸复合物I和IV的水平和活性降低"
"31957","Decreased levels and activity of mitochondrial respiratory complexes I and IV","55","线粒体呼吸复合物I和IV的水平和活性降低"
"31958","Increased serum lactate (mild)","72",
"31959","May be fatal in infancy","73",
"31960","Two sisters have been reported (last curated September 2013)","73",
"31961","Premature thelarche","25","过早的thelarche"
"31962","Premature increase in testicular volume","35","睾丸体积过早增加"
"31963","Premature increase in penile length","35","阴茎长度过早增加"
"31964","Premature pubic hair maturation","54",
"31965","Premature pubertal basal levels of luteinizing hormone (LH)","62",
"31966","Premature pubertal stimulated levels of LH","62",
"31967","Elevated prepubertal levels of testosterone","62",
"31968","Elevated prepubertal levels of estradiol","62",
"31969","Median age at onset of puberty is 5.75 years in affected girls and 8.1 years in affected boys","73",
"31970","Heart failure, progressive and sometimes fatal","15","心力衰竭，进行性，有时致命"
"31971","Ventricular flutter, nonsustained (in some patients)","15","心室扑动，无张力（部分患者）"
"31972","Left ventricular noncompaction at apex and/or midventricular wall (in some patients)","15","左心室和/或中心壁左心室不致密（某些患者）"
"31973","Some patients require cardiac transplantation","73",
"31974","Two unrelated families have been reported (last curated September 2013)","73",
"31975","Death in utero or early infancy","73",
"31976","Features of congenital myasthenic syndrome (in some patients)","55","先天性肌无力综合征的特征（部分患者）"
"31977","Fluctuating muscle weakness","55","波动的肌肉无力"
"31978","Decremental compound action muscle potentials in response to repetitive nerve stimulation (in some patients)","55","减少复合动作肌肉电位响应重复神经刺激（在一些患者中）"
"31979","Some patients may respond to treatment with pyridostigmine","73",
"31980","Macrosomia, mild","4",
"31981","Macrocephaly, mild","6","Macrocephaly，温和"
"31982","Tented lips","11","有色的嘴唇"
"31983","Premature loss of incisors","12","过早失去门牙"
"31984","Ureteral dilation","40","输尿管扩张"
"31985","Abnormal skull shape","43","颅骨形状异常"
"31986","Premature close of sutures","43","缝合线过早闭合"
"31987","Secondary ossification centers","46","二级骨化中心"
"31988","Wide and long femoral necks","46","宽而长的股骨颈"
"31989","Motor and intellectual disability, severe","57","运动和智力残疾，严重"
"31990","Variable intracranial abnormalities","57","可变颅内异常"
"31991","Primitive Sylvian fissures","57","原始Sylvian裂缝"
"31992","Decreased alkaline phosphatase","72",
"31993","Increased serum calcium","72",
"31994","Some features are variably expressed","73",
"31995","One family and an unrelated patient have been reported (last curated January 2016)","73",
"31996","Fatigue","57","疲劳"
"31997","Decreased expression of GPI-anchored proteins on blood cells","72",
"31998","Features occur episodically","73",
"31999","Caused by heterozygous germline mutation and second-hit somatic mutation","73",
"32000","Fetal pleural effusion","68",
"32001","Features are variable","73",
"32002","Alacrima (in some patients)","9","Alacrima（某些患者）"
"32003","Hepatic steatosis (1 patient)","29","肝脏脂肪变性（1例患者）"
"32004","Achalasia (in some patients)","33","失弛缓症（部分患者）"
"32005","Cerebral atrophy (in some patients) Reduced white matter volume (in some patients)","57","脑萎缩（部分患者）白质体积减少（部分患者）"
"32006","Abnormal liver enzymes (1 patient)","72",
"32007","Pectus excavatum (rare)","24","漏斗胸（罕见）"
"32008","Large joint laxity","42","大关节松弛"
"32009","Spatulate finger","47","匙形手指"
"32010","Finger laxity","47","手指松弛"
"32011","Doughy skin","50",
"32012","Developmental delay (rare)","57","发育迟缓（罕见）"
"32013","Auditory, olfactory, and visual auras","57","听觉，嗅觉和视觉光环"
"32014","Cortical myoclonic tremors characterized by 8 to 10-Hz discharges","57","皮质肌阵挛性震颤，其特征为8至10Hz放电"
"32015","Temporal epileptiform discharges seen on EEG","57","EEG上可见颞部癫痫样放电"
"32016","Head nodding","57","头点头"
"32017","Borderline intelligence","57","边界情报"
"32018","Mesial temporal sclerosis (in 1 patient)","57","中度颞叶硬化（1例患者）"
"32019","Depressive symptoms","59",
"32020","One family has been reported (last curated September 2013)","73",
"32021","Onset in the second decade","73",
"32022","Tremors develop after seizures","73",
"32023","Good seizure control with medication","73",
"32024","Heart biopsy shows enlarged mitochondrial with abnormal cristae (rare)","15","心脏活检显示线粒体增大，嵴异常（罕见）"
"32025","Skeletal muscle biopsy shows enlarged mitochondria with abnormal cristae Decreased mitochondrial complex I activity","55","骨骼肌活检显示线粒体增大，嵴异常减少线粒体复合物I活性降低"
"32026","Decreased mitochondrial complex IV activity (in some patients)","55","减少线粒体复合物IV活性（在一些患者中）"
"32027","Hyperintensities in the basal ganglia (rare)","57","基底神经节中的高信号（罕见）"
"32028","Accumulation of unprocessed mt-tRNA intermediates in skeletal muscle cells and fibroblasts","72",
"32029","Increased urinary orotic acid (in some patients)","72",
"32030","Increased urinary organic acids (in some patients)","72",
"32031","Onset in the first 6 months of life","73",
"32032","Polymorphic or bidirectional ventricular extrasystoles","15","多形性或双向心室期外收缩"
"32033","Polymorphic ventricular tachycardia","15","多形性室性心动过速"
"32034","Exercise-induced syncope","15","运动引起的晕厥"
"32035","Cardiac arrest and sudden death may occur, even in early childhood","73",
"32036","Oral thrush (in 1 patient)","11","口腔鹅口疮（1名患者）"
"32037","Attention-deficit disorder (in some patients)","59",
"32038","Decreased numbers of naive CD4+ and CD8+ T cells","64",
"32039","Decreased circulating CD4+ T cells","64",
